pid,role,iso2,name,af_ids
349,player,mx,Raúl Jiménez,2887
350,player,mx,Jesús Gallardo,2881
351,player,mx,Edson Álvarez,2869
352,player,mx,Orbelín Pineda,35576
353,player,mx,César Montes,2873
354,player,mx,Roberto Alvarado,2879
355,player,mx,Luis Romo,35970
356,player,mx,Jorge Sánchez,2878
357,player,mx,Alexis Vega,2889
358,player,mx,Johan Vásquez,35544
359,player,mx,Luis Chávez,35690
360,player,mx,Israel Reyes,127227
361,player,mx,César Huerta,36111
362,player,mx,Érik Lira,266345
363,player,mx,Raúl Rangel,270774
364,player,mx,Guillermo Martínez,36088
365,player,mx,Mateo Chávez,390002
366,player,mx,Gilberto Mora,482605
367,player,mx,Carlos Acevedo,35769
368,player,mx,Armando González,291713
369,coach,mx,Javier Aguirre,27707
370,player,za,Ronwen Williams,3275
371,player,za,Themba Zwane,3289
372,player,za,Teboho Mokoena,3287
373,player,za,Aubrey Modiba,46334
374,player,za,Khuliso Mudau,46601
375,player,za,Sphephelo Sithole,158433
376,player,za,Lyle Foster,98936
377,player,za,Oswin Appollis,179893
378,player,za,Evidence Makgopa,201354
379,player,za,Nkosinathi Sibisi,46458
380,player,za,Thalente Mbatha,194430
381,player,za,Iqraam Rayners,127429
382,player,za,Relebohile Mofokeng,414149
383,player,za,Tshepang Moremi,295977
384,player,za,Thapelo Maseko,354831
385,player,za,Mbekezeli Mbokazi,510799
386,player,za,Ime Okon,406752
387,player,za,Samukele Kabini,430078
388,player,za,Khulumani Ndamane,474630
389,player,za,Ricardo Goss,46245
390,player,za,Jayden Adams,268710
391,player,za,Sipho Chaine,46417
392,player,za,Thabang Matuludi,330174
393,player,za,Kamogelo Sebelebele,359561
394,player,za,Olwethu Makhanya,392387
395,player,za,Bradley Cross,163041
396,player,kr,Son Heung-min,186
397,player,kr,Lee Jae-sung,2906
398,player,kr,Kim Seung-gyu,2892
399,player,kr,Kim Min-jae,2897
400,player,kr,Hwang Hee-chan,24888
401,player,kr,Hwang In-beom,2901
402,player,kr,Jo Hyeon-woo,2890
403,player,kr,Lee Kang-in,927
404,player,kr,Cho Gue-sung,34211
405,player,kr,Kim Moon-hwan,2912
406,player,kr,Seol Young-woo,197985
407,player,kr,Paik Seung-ho,2909
408,player,kr,Oh Hyeon-gyu,34710
409,player,kr,Kim Jin-gyu,34168
410,player,kr,Lee Dong-gyeong,34431
411,player,kr,Lee Tae-seok,237220
412,player,kr,Park Jin-seob,99211
413,player,kr,Bae Jun-ho,357286
414,player,kr,Yang Hyun-jun,304958
415,player,kr,Eom Ji-sung,237050
416,player,kr,Lee Han-beom,237218
417,player,kr,Kim Tae-hyeon,34418
