lat,lon,population
40.05829,44.47229,3689
40.83486,43.7779,1598
40.73381,44.68474,3601
40.57595,43.87059,5462
40.84715,43.83938,1322
40.07637,45.25507,1138
40.86137,44.03489,1170
40.08893,44.26947,1078
40.18726,44.0039,2793
40.15933,45.23467,5292
40.7882,44.16024,1597
40.81538,44.39344,1994
40.79532,44.27435,1442
40.46676,44.79249,3037
40.5625,43.9389,1389
40.75843,44.63401,908
40.13611,44.24731,2964
40.51947,44.93048,4301
40.45569,45.07507,1138
40.26947,45.14447,2140
40.95719,44.55623,1425
40.51915,44.39119,2058
41.13243,45.1295,1922
40.27789,44.66388,1776
40.29995,44.15252,3146
41.18184,44.97608,4621
40.8074,44.49704,78100
40.63721,44.14058,2120
40.93668,45.1821,1806
40.12512,44.4057,2262
40.16808,45.69259,1242
40.38068,43.94733,1060
40.82323,44.14137,1794
40.17048,45.57785,2081
40.33069,44.37793,4851
40.10444,45.28972,5104
40.24451,43.82233,4594
40.54309,43.83331,1039
40.32507,44.70007,1458
40.24739,44.53511,4247
40.0095,44.54531,1183
40.82572,43.95071,1465
40.35398,45.12386,18900
40.47196,44.73744,2699
40.35406,44.05435,1235
40.61564,43.72643,1028
40.15701,44.09192,1751
40.77482,44.54596,2491
40.88037,45.14776,19500
40.5169,44.75591,49500
40.15553,44.0388,29700
40.11995,44.37298,2442
40.17143,43.94993,2259
40.77614,44.96847,3586
40.79305,43.84635,114667
40.96528,44.47128,1614
40.23694,44.69153,2401
40.12394,44.41556,2312
40.31091,45.67924,1083
40.8046,44.54025,5809
40.1861,44.26947,1361
40.73053,45.00012,1123
40.1347,44.78332,2143
40.89255,44.19915,1255
40.03844,44.56369,2103
40.04449,43.94171,2233
40.9577,44.44161,1414
40.68467,44.02333,1225
40.14587,44.43048,3419
40.25568,45.14728,1790
40.5625,44.88892,1870
40.11931,44.73442,8347
40.54026,44.86962,1872
40.72365,44.71664,1219
40.2004,44.63438,2948
40.56811,43.88068,1187
40.16817,45.1945,4789
40.50848,43.82092,1210
40.18889,44.62414,6987
40.79028,44.18664,3706
40.05275,44.51259,1717
40.73817,44.02776,1029
40.07214,44.27137,3057
40.0473,44.4751,1078
40.04449,44.02789,3430
40.01984,44.58376,2884
40.9617,44.65003,2137
40.22229,44.27228,1515
40.74037,44.86344,15914
40.57013,44.81609,2675
40.21642,44.48088,52100
40.2279,44.30011,1008
40.83674,44.42494,1991
40.10828,44.37793,1132
40.22648,43.8719,4695
41.18118,44.83217,1970
40.40289,44.64447,22071
40.59655,45.35498,5481
40.45382,44.64841,2865
40.31335,44.59685,11819
40.33894,44.27275,4334
40.45569,44.51947,1653
41.20503,44.99967,3343
40.88066,45.38901,6900
40.86763,44.43978,1417
40.3295,44.319,1024
40.32309,45.1103,3810
40.01604,44.51889,1206
40.10828,44.01947,3511
40.25153,44.60828,3962
41.24358,44.81737,2940
40.71959,43.82727,5655
40.18048,44.23328,2527
41.18826,44.90404,1870
40.80312,43.75173,1243
40.08893,44.03888,1494
40.00293,44.55829,2449
40.23608,44.28888,1893
40.07507,44.0611,2171
40.14728,44.16669,3265
40.97951,45.25033,3315
40.83121,45.54483,1620
